Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis432,1134,624,2899,1075,758,1265
Spis433,3543,1467,8191,3071,1695,3221
Spis434,1476,726,3145,1625,1040,1243
Spis435,1194,851,2969,1093,659,1049
Spis436.t1,24,14,66,14,12,13
Spis437,1946,1031,4934,2383,1539,1757
Spis438,898,444,2412,918,561,987
Spis439,2222,1146,4571,2005,1280,1930
Spis440,1331,683,3330,1386,858,1187
Spis441,1354,660,4036,1413,940,1160
Spis442,1238,631,3607,1421,951,1418
Spis443,5191,2747,10719,5799,3260,3874
Spis444,752,457,1842,780,530,681
Spis445,932,466,2271,803,547,753
Spis446,1331,668,3123,1475,927,1090
Spis447,300,181,726,270,184,265
Spis448,1312,826,3164,1973,1042,1495
Spis449,784,369,1845,808,545,692
Spis450,2210,1486,4661,1978,1763,2614
Spis451,57514,47792,99027,49496,45157,66780
Spis452,560,301,1410,529,327,531
Spis453,840,410,1823,869,474,647
Spis454,623,179,912,443,276,341
Spis455,329,175,806,332,218,294
Spis456,729,343,1741,828,414,678
Spis457,465,270,1470,643,420,574
Spis458,674,451,2362,776,546,904
Spis459,1725,836,3773,1416,959,1459
Spis460,1341,516,2616,1217,710,839
Spis461,3497,1997,8220,4326,2479,2859
Spis462,869,437,2311,948,562,789
Spis463,1288,802,3246,1571,899,1154
Spis464,749,411,2387,808,517,926
Spis465,1536,868,4223,1712,1034,1356
Spis466,1771,766,4166,1964,1234,1204
Spis467,1801,907,4169,2002,1268,1493
Spis468,4307,2658,9584,5045,3633,4500
Spis469,827,453,2281,928,600,809
Spis470,2087,1253,4552,1614,1140,2102
Spis471,549,310,1332,660,420,583
Spis472,514,279,1551,367,243,408
Spis473,1444,629,3530,1180,731,1414
Spis474,268,187,839,370,203,270
Spis475,825,469,2081,851,550,862
Spis476,434,244,1194,469,332,418
Spis477,1691,879,4829,2116,1263,1819
Spis478,1201,480,2274,1383,834,860
Spis479.t1,166,72,342,185,121,132
Spis480,770,372,1706,854,509,540
Spis481,1146,546,2735,1472,832,1004
Spis482,631,338,1651,861,505,631
Spis483,2260,1284,5904,2718,1468,2092
Spis484,772,450,2829,1183,698,989
Spis485,951,464,2537,1100,613,914
Spis486,707,408,1944,816,438,709
Spis487,666,338,1411,615,416,537
Spis488,2517,1429,5568,3582,2172,2053
Spis489,367,196,871,328,188,288
Spis490.t1,490,313,1284,572,338,452
Spis491.t1,196,127,562,239,154,168
Spis492,1209,727,3856,1282,790,1412
Spis493,402,192,997,392,250,319
Spis494,895,515,2573,1222,726,998
Spis495,1117,602,2094,1113,684,877
Spis496,1331,736,2558,1421,897,1620
Spis497,2298,1323,5409,2281,1329,1961
Spis498,756,375,1605,676,510,709
Spis499,1287,676,2985,1488,871,1029
Spis500,1409,703,3533,1599,893,1283
Spis501,1843,1092,4650,2584,1495,1917
Spis502,789,434,2270,898,487,801
Spis503,1189,660,3408,1603,883,1135
Spis504,515,307,1472,612,442,568
Spis505,6658,3151,15467,7189,5053,5001
Spis506,872,442,2436,945,509,825
Spis507,1908,854,3431,2220,1269,1351
Spis508,436,256,1017,556,335,423
Spis510.t1,204,155,525,306,189,210
Spis511,541,324,1426,559,349,508
Spis512,3151,1127,7101,2272,1314,1836
Spis513,453,220,1501,546,316,433
Spis514.t1,90,36,276,82,50,76
Spis515,565,394,1206,707,444,483
Spis516,428,246,1043,406,236,384
Spis517,1172,630,2823,1578,988,1345
Spis518,96,85,231,144,85,89
Spis519.t1,54,32,120,62,29,47
Spis520,946,547,2650,1143,768,998
Spis521,5407,3865,10720,5294,4464,6427
Spis522,854,382,2479,794,498,963
Spis523,1697,1003,4659,2698,1649,2002
Spis524,1406,747,3023,1584,877,1062
Spis525,1696,930,4838,1917,1192,1687
Spis526,1495,737,3019,1863,1200,1102
Spis527,15489,9776,35415,14576,8545,11632
Spis528,832,318,1762,858,555,709
Spis529,1901,965,4528,1921,1189,1989
Spis530,990,500,2680,1121,676,1011
Spis531,473,277,1361,717,342,535
Spis532,2076,1157,4817,2381,1402,1697
Spis533,1378,646,3139,2496,1449,2090
Spis534,2233,1106,4449,1789,1098,1735
Spis535,1102,555,2677,947,680,933
Spis536,982,511,2566,1023,717,928
Spis537,442,217,1093,420,285,386
Spis538,949,466,2381,1068,628,830
Spis539,1176,553,3178,1263,817,1088
Spis540,1322,754,3740,1801,1045,1348
Spis541,1487,502,2809,1231,779,1139
Spis542,2740,1381,7111,3134,1828,2598
Spis543,1118,564,2834,1240,802,1159
Spis544,1068,600,2570,1141,682,1058
Spis545,536,307,1545,686,377,512
Spis546,697,374,1665,713,464,598
